,Class,F1 score,Accuracy,Precision,Recall,Specificity
817,"sports car, sport car",0.59405947,0.6,0.5882353,0.6,0.9995796
818,"spotlight, spot",0.41379312,0.36,0.4864865,0.36,0.9996196
819,stage,0.5426356,0.7,0.443038,0.7,0.9991191
820,steam locomotive,0.9183674,0.9,0.9375,0.9,0.9999399
821,steel arch bridge,0.8679245,0.92,0.8214286,0.92,0.9997998
822,steel drum,0.8842105,0.84,0.93333334,0.84,0.9999399
823,stethoscope,0.64285713,0.54,0.7941176,0.54,0.99985987
824,stole,0.5376344,0.5,0.5813953,0.5,0.99963963
825,stone wall,0.82608694,0.76,0.9047619,0.76,0.9999199
826,"stopwatch, stop watch",0.6136364,0.54,0.7105263,0.54,0.99977976
827,stove,0.6262626,0.62,0.63265306,0.62,0.99963963
828,strainer,0.63043475,0.58,0.6904762,0.58,0.99973977
829,"streetcar, tram, tramcar, trolley, trolley car",0.86,0.86,0.86,0.86,0.99985987
830,stretcher,0.59405947,0.6,0.5882353,0.6,0.9995796
831,"studio couch, day bed",0.68799996,0.86,0.5733333,0.86,0.99935937
832,"stupa, tope",0.9052632,0.86,0.95555556,0.86,0.99995995
833,"submarine, pigboat, sub, U-boat",0.82608694,0.76,0.9047619,0.76,0.9999199
834,"suit, suit of clothes",0.51785713,0.58,0.46774194,0.58,0.99933934
835,sundial,0.67391306,0.62,0.7380952,0.62,0.99977976
836,sunglass,0.31428573,0.22,0.55,0.22,0.9998198
837,"sunglasses, dark glasses, shades",0.34666666,0.26,0.52,0.26,0.99975973
838,"sunscreen, sunblock, sun blocker",0.4102564,0.32,0.5714286,0.32,0.99975973
839,suspension bridge,0.70329666,0.64,0.7804878,0.64,0.9998198
840,"swab, swob, mop",0.7758621,0.9,0.6818182,0.9,0.9995796
841,sweatshirt,0.54545456,0.42,0.7777778,0.42,0.9998799
842,"swimming trunks, bathing trunks",0.48484847,0.48,0.48979592,0.48,0.9994995
843,swing,0.6241135,0.88,0.48351648,0.88,0.9990591
844,"switch, electric switch, electrical switch",0.6373626,0.58,0.70731705,0.58,0.99975973
845,syringe,0.6593407,0.6,0.73170733,0.6,0.99977976
846,table lamp,0.6666666,0.78,0.58208954,0.78,0.9994394
847,"tank, army tank, armored combat vehicle, armoured combat vehicle",0.7169811,0.76,0.6785714,0.76,0.99963963
848,tape player,0.3576159,0.54,0.26732674,0.54,0.9985185
849,teapot,0.80808085,0.8,0.81632656,0.8,0.9998198
850,"teddy, teddy bear",0.7628866,0.74,0.78723407,0.74,0.9997998
851,"television, television system",0.53333336,0.64,0.45714286,0.64,0.99923927
852,tennis ball,0.8431373,0.86,0.8269231,0.86,0.9998198
853,"thatch, thatched roof",0.886598,0.86,0.9148936,0.86,0.9999199
854,"theater curtain, theatre curtain",0.83018863,0.88,0.78571427,0.88,0.99975973
855,thimble,0.7291667,0.7,0.76086956,0.7,0.99977976
856,"thresher, thrasher, threshing machine",0.6086957,0.7,0.53846157,0.7,0.9993994
857,throne,0.76923084,0.7,0.85365856,0.7,0.9998799
858,tile roof,0.70329666,0.64,0.7804878,0.64,0.9998198
859,toaster,0.76923084,0.7,0.85365856,0.7,0.9998799
860,"tobacco shop, tobacconist shop, tobacconist",0.43548384,0.54,0.36486486,0.54,0.9990591
861,toilet seat,0.77227724,0.78,0.7647059,0.78,0.99975973
862,torch,0.71929824,0.82,0.640625,0.82,0.99953955
863,totem pole,0.94,0.94,0.94,0.94,0.9999399
864,"tow truck, tow car, wrecker",0.6530613,0.64,0.6666667,0.64,0.9996797
865,toyshop,0.54545456,0.6,0.5,0.6,0.9993994
866,tractor,0.7358491,0.78,0.6964286,0.78,0.99965966
867,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",0.7676767,0.76,0.7755102,0.76,0.99977976
868,tray,0.5894737,0.56,0.62222224,0.56,0.99965966
869,trench coat,0.6585367,0.54,0.84375,0.54,0.9998999
870,"tricycle, trike, velocipede",0.71929824,0.82,0.640625,0.82,0.99953955
871,trimaran,0.754717,0.8,0.71428573,0.8,0.9996797
872,tripod,0.67391306,0.62,0.7380952,0.62,0.99977976
873,triumphal arch,0.9108911,0.92,0.9019608,0.92,0.9998999
874,"trolleybus, trolley coach, trackless trolley",0.8596491,0.98,0.765625,0.98,0.9996997
875,trombone,0.67346936,0.66,0.6875,0.66,0.9996997
876,"tub, vat",0.3695652,0.34,0.4047619,0.34,0.9994995
877,turnstile,0.7755102,0.76,0.7916667,0.76,0.9997998
878,typewriter keyboard,0.48,0.36,0.72,0.36,0.99985987
879,umbrella,0.6511628,0.56,0.7777778,0.56,0.99983984
880,"unicycle, monocycle",0.7358491,0.78,0.6964286,0.78,0.99965966
881,"upright, upright piano",0.7567568,0.84,0.6885246,0.84,0.9996196
882,"vacuum, vacuum cleaner",0.6666667,0.68,0.65384614,0.68,0.99963963
883,vase,0.5102041,0.5,0.5208333,0.5,0.99953955
884,vault,0.640625,0.82,0.525641,0.82,0.99925923
885,velvet,0.23880596,0.16,0.47058824,0.16,0.9998198
886,vending machine,0.88073385,0.96,0.8135593,0.96,0.99977976
887,vestment,0.6804124,0.66,0.70212764,0.66,0.99971974
888,viaduct,0.82608694,0.76,0.9047619,0.76,0.9999199
889,"violin, fiddle",0.70454544,0.62,0.81578946,0.62,0.99985987
890,volleyball,0.9142857,0.96,0.8727273,0.96,0.99985987
891,waffle iron,0.8453609,0.82,0.87234044,0.82,0.9998799
892,wall clock,0.59405947,0.6,0.5882353,0.6,0.9995796
893,"wallet, billfold, notecase, pocketbook",0.53846157,0.56,0.5185185,0.56,0.9994795
894,"wardrobe, closet, press",0.5762712,0.68,0.5,0.68,0.9993193
895,"warplane, military plane",0.69642854,0.78,0.62903225,0.78,0.99953955
896,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",0.7407407,0.8,0.6896552,0.8,0.99963963
897,"washer, automatic washer, washing machine",0.8571428,0.78,0.9512195,0.78,0.99995995
898,water bottle,0.5531915,0.52,0.59090906,0.52,0.99963963
899,water jug,0.3703704,0.3,0.48387095,0.3,0.9996797
900,water tower,0.9591837,0.94,0.9791667,0.94,0.99998
901,whiskey jug,0.74999994,0.66,0.8684211,0.66,0.9998999
902,whistle,0.7592593,0.82,0.70689654,0.82,0.99965966
903,wig,0.78787875,0.78,0.79591835,0.78,0.9997998
904,window screen,0.6796117,0.7,0.6603774,0.7,0.99963963
905,window shade,0.59183675,0.58,0.6041667,0.58,0.9996196
906,Windsor tie,0.520548,0.38,0.82608694,0.38,0.9999199
907,wine bottle,0.4473684,0.34,0.65384614,0.34,0.9998198
908,wing,0.63291144,0.5,0.86206895,0.5,0.9999199
909,wok,0.51282054,0.4,0.71428573,0.4,0.99983984
910,wooden spoon,0.7216495,0.7,0.7446808,0.7,0.99975973
911,"wool, woolen, woollen",0.42553192,0.4,0.45454547,0.4,0.9995195
912,"worm fence, snake fence, snake-rail fence, Virginia fence",0.75,0.84,0.67741936,0.84,0.9995996
913,wreck,0.78787875,0.78,0.79591835,0.78,0.9997998
914,yawl,0.877551,0.86,0.8958333,0.86,0.9998999
915,yurt,0.9126213,0.94,0.8867925,0.94,0.9998799
916,"web site, website, internet site, site",0.8135593,0.96,0.7058824,0.96,0.9995996
917,comic book,0.6,0.54,0.675,0.54,0.99973977
918,"crossword puzzle, crossword",0.8659794,0.84,0.89361703,0.84,0.9998999
919,street sign,0.71186435,0.84,0.61764705,0.84,0.9994795
920,"traffic light, traffic signal, stoplight",0.81553394,0.84,0.7924528,0.84,0.99977976
921,"book jacket, dust cover, dust jacket, dust wrapper",0.58928573,0.66,0.5322581,0.66,0.9994194
922,menu,0.82608694,0.76,0.9047619,0.76,0.9999199
923,plate,0.44927534,0.62,0.35227272,0.62,0.99885887
924,guacamole,0.7346939,0.72,0.75,0.72,0.99975973
925,consomme,0.6271186,0.74,0.5441176,0.74,0.9993794
926,"hot pot, hotpot",0.6478873,0.92,0.5,0.92,0.9990791
927,trifle,0.7933884,0.96,0.6760563,0.96,0.99953955
928,"ice cream, icecream",0.5473684,0.52,0.5777778,0.52,0.9996196
929,"ice lolly, lolly, lollipop, popsicle",0.6213592,0.64,0.6037736,0.64,0.9995796
930,French loaf,0.67307687,0.7,0.6481481,0.7,0.9996196
931,"bagel, beigel",0.69473684,0.66,0.73333335,0.66,0.99975973
932,pretzel,0.7173913,0.66,0.78571427,0.66,0.9998198
933,cheeseburger,0.86,0.86,0.86,0.86,0.99985987
934,"hotdog, hot dog, red hot",0.776699,0.8,0.754717,0.8,0.99973977
935,mashed potato,0.71428573,0.7,0.7291667,0.7,0.99973977
936,head cabbage,0.86868685,0.86,0.877551,0.86,0.9998799
937,broccoli,0.8453609,0.82,0.87234044,0.82,0.9998799
938,cauliflower,0.84615386,0.88,0.8148148,0.88,0.9997998
939,"zucchini, courgette",0.76595753,0.72,0.8181818,0.72,0.99983984
940,spaghetti squash,0.86238533,0.94,0.7966102,0.94,0.99975973
941,acorn squash,0.8514852,0.86,0.84313726,0.86,0.99983984
942,butternut squash,0.7954545,0.7,0.92105263,0.7,0.9999399
943,"cucumber, cuke",0.7238095,0.76,0.6909091,0.76,0.99965966
944,"artichoke, globe artichoke",0.8659794,0.84,0.89361703,0.84,0.9998999
945,bell pepper,0.9,0.9,0.9,0.9,0.9998999
946,cardoon,0.87850463,0.94,0.8245614,0.94,0.9997998
947,mushroom,0.5,0.4,0.6666667,0.4,0.9997998
948,Granny Smith,0.92,0.92,0.92,0.92,0.9999199
949,strawberry,0.74418604,0.64,0.8888889,0.64,0.9999199
950,orange,0.74725276,0.68,0.8292683,0.68,0.99985987
951,lemon,0.79999995,0.76,0.84444445,0.76,0.99985987
952,fig,0.8431373,0.86,0.8269231,0.86,0.9998198
953,"pineapple, ananas",0.9387755,0.92,0.9583333,0.92,0.99995995
954,banana,0.87234044,0.82,0.9318182,0.82,0.9999399
955,"jackfruit, jak, jack",0.92,0.92,0.92,0.92,0.9999199
956,custard apple,0.8888889,0.96,0.82758623,0.96,0.9997998
957,pomegranate,0.8453609,0.82,0.87234044,0.82,0.9998799
958,hay,0.8222223,0.74,0.925,0.74,0.9999399
959,carbonara,0.86315787,0.82,0.9111111,0.82,0.9999199
960,"chocolate sauce, chocolate syrup",0.5473684,0.52,0.5777778,0.52,0.9996196
961,dough,0.4578313,0.38,0.57575756,0.38,0.99971974
962,"meat loaf, meatloaf",0.61538464,0.64,0.5925926,0.64,0.9995596
963,"pizza, pizza pie",0.85106385,0.8,0.90909094,0.8,0.9999199
964,potpie,0.6666667,0.7,0.6363636,0.7,0.9995996
965,burrito,0.8363636,0.92,0.76666665,0.92,0.99971974
966,red wine,0.64220184,0.7,0.59322035,0.7,0.9995195
967,espresso,0.6262626,0.62,0.63265306,0.62,0.99963963
968,cup,0.43678162,0.38,0.5135135,0.38,0.99963963
969,eggnog,0.4423077,0.46,0.42592594,0.46,0.9993794
970,alp,0.5573771,0.68,0.4722222,0.68,0.99923927
971,bubble,0.8172043,0.76,0.88372093,0.76,0.9998999
972,"cliff, drop, drop-off",0.65546215,0.78,0.5652174,0.78,0.9993994
973,coral reef,0.70370376,0.76,0.6551724,0.76,0.9995996
974,geyser,0.8867925,0.94,0.83928573,0.94,0.9998198
975,"lakeside, lakeshore",0.48226947,0.68,0.37362638,0.68,0.99885887
976,"promontory, headland, head, foreland",0.63265306,0.62,0.6458333,0.62,0.99965966
977,"sandbar, sand bar",0.62500006,0.6,0.65217394,0.6,0.9996797
978,"seashore, coast, seacoast, sea-coast",0.4227642,0.52,0.3561644,0.52,0.9990591
979,"valley, vale",0.67256635,0.76,0.6031746,0.76,0.9994995
980,volcano,0.75268817,0.7,0.81395346,0.7,0.99983984
981,"ballplayer, baseball player",0.7474748,0.74,0.75510204,0.74,0.99975973
982,"groom, bridegroom",0.67469877,0.56,0.8484849,0.56,0.9998999
983,scuba diver,0.8235294,0.84,0.8076923,0.84,0.9997998
984,rapeseed,0.98,0.98,0.98,0.98,0.99998
985,daisy,0.9607843,0.98,0.9423077,0.98,0.9999399
986,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",1.0,1.0,1.0,1.0,1.0
987,corn,0.40476188,0.34,0.5,0.34,0.99965966
988,acorn,0.9019608,0.92,0.88461536,0.92,0.9998799
989,"hip, rose hip, rosehip",0.9245283,0.98,0.875,0.98,0.99985987
990,"buckeye, horse chestnut, conker",0.86,0.86,0.86,0.86,0.99985987
991,coral fungus,0.9038461,0.94,0.8703704,0.94,0.99985987
992,agaric,0.7678572,0.86,0.6935484,0.86,0.9996196
993,gyromitra,0.95238096,1.0,0.90909094,1.0,0.9998999
994,"stinkhorn, carrion fungus",0.81481487,0.88,0.7586207,0.88,0.99971974
995,earthstar,0.8990826,0.98,0.8305085,0.98,0.9997998
996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",0.8000001,0.92,0.7076923,0.92,0.9996196
997,bolete,0.72549015,0.74,0.71153843,0.74,0.9996997
998,"ear, spike, capitulum",0.6306306,0.7,0.57377046,0.7,0.9994795
999,"toilet tissue, toilet paper, bathroom tissue",0.5411765,0.46,0.6571429,0.46,0.99975973
